Restaurant,Rating,Cuisine,Price_for_Two,Location,Delivery_Time
Banng - Branch 28,3.9,Thai,"₹3,300 for two",Secunderabad,
Shekhar Enterprises - Branch 45,3.8,"North Indian, Beverages",₹100 for two,Kukatpally,
Star Buffet - Branch 18,4.3,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Nexify Cafe - Branch 21,4.2,"North Indian, South Indian",₹100 for two,Kukatpally,
Samosa Buddys - Branch 25,4.3,Street Food,₹100 for two,Kukatpally,
Jai Jagannath Restaurant - Branch 36,4.1,South Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Aslam Chicken - Branch 38,4.1,₹100 OFF,₹100 OFF,Gachibowli,52 min
Gopal Ji Ke Khasta Kachori - Branch 17,4.0,Street Food,₹100 for two,Kukatpally,
Noor by Khubani - Branch 49,4.4,Bar Food,"₹3,000 for two",Madhapur,
Zythos Loft Bar And Brew - Branch 40,4.5,"North Indian, Chinese, Korean, Asian, Italian, Continental, Salad, Sushi","₹2,200 for two",Madhapur,
Kaku Kachodi Wale - Branch 39,3.8,Street Food,₹100 for two,Kukatpally,
Ro'Lit! - Lit Momos & Rolls - Branch 43,3.9,₹100 OFF,₹100 OFF,Gachibowli,30 min
Jain Chawal Wale - Branch 16,4.0,₹100 OFF,₹100 OFF,Gachibowli,23 min
Yashpal Tulsi Dass Chole Kulche - Branch 40,3.3,North Indian,₹100 for two,Kukatpally,
Special Paneer Wala Chole Bhature - Branch 21,4.1,North Indian,₹100 for two,Kukatpally,
Eat Street 18 - Branch 25,4.0,"Street Food, North Indian, Sandwich, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Moyaaah! - Branch 32,4.3,₹100 OFF,₹100 OFF,Madhapur,48 min
Meraak - Branch 42,3.9,"Cafe, Coffee, North Indian, Chinese, Asian, Continental, Biryani, Beverages","₹2,000 for two",Madhapur,
Caara At Ogaan - Branch 46,4.4,₹100 OFF,₹100 OFF,Gachibowli,34 min
Khadak Singh Da Dhaba - Branch 5,4.1,₹100 OFF,₹100 OFF,Gachibowli,32 min
Tasa Kitchen Bar & Terrace - Branch 43,4.1,"North Indian, Chinese, Italian, Mediterranean, Asian, Sushi, Desserts, Beverages","₹2,700 for two",Secunderabad,
Cafe Desire - Branch 12,3.8,"North Indian, Chinese, Mughlai, Fast Food, Street Food, Pizza, Bar Food, Ice Cream","₹2,500 for two",Secunderabad,
Warehouse Cafe - Branch 5,4.4,"North Indian, Italian, Asian, Kebab, Beverages","₹3,000 for two",Madhapur,
Swagat - Food Pallette Of India - Branch 29,4.2,₹100 OFF,₹100 OFF,Gachibowli,27 min
Uncle's Delhi - Branch 29,4.9,"North Indian, Bar Food, Desserts","₹3,500 for two",Madhapur,
L'opal - Gourmet Cakes and Desserts - Branch 40,4.3,₹100 OFF,₹100 OFF,Gachibowli,33 min
Yashpal Tulsi Dass Chole Kulche - Branch 24,3.0,North Indian,₹100 for two,Kukatpally,
Vikash Special Chole Bhature - Branch 42,4.1,Street Food,₹100 for two,Kukatpally,
Ridhi Sidhi Lucky Dhaba - Branch 1,3.7,"North Indian, Fast Food, Street Food, Beverages",₹450 for two,Gachibowli,
Anya Ayra Cakes - Branch 46,3.8,"Bakery, Desserts",₹200 for one,Madhapur,56 min
Hola Pasta - Fresh Gourmet Pasta - Branch 27,3.8,₹100 OFF,₹100 OFF,Gachibowli,29 min
Shake Sahab - Branch 43,4.0,₹100 OFF,₹100 OFF,Gachibowli,45 min
Raj Kumar Chole Kulche Wale - Branch 22,4.0,North Indian,₹100 for two,Kukatpally,
The Ghee Khichdi Project - Branch 41,4.4,₹100 OFF,₹100 OFF,Gachibowli,29 min
Pista House Bakery - Branch 32,4.3,₹100 OFF,₹100 OFF,Madhapur,35 min
Master Chef Bakers And Fast Food - Branch 16,4.0,₹100 OFF,₹100 OFF,Madhapur,43 min
Pizza's 49 - Branch 23,4.3,Pizza,₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
House Of Boho - Branch 26,4.4,"Mediterranean, Asian, Sushi, Italian, Pizza, Pasta, North Indian","₹2,800 for two",Madhapur,
Odella - Branch 40,4.1,"Asian, Mediterranean, Sushi, North Indian, Desserts","₹3,000 for two",Madhapur,
Shankar Ji Ke Special Paranthe - Branch 9,3.7,North Indian,₹100 for two,Kukatpally,
The Grill House - Branch 5,4.1,"North Indian, Chinese, Pizza","₹2,400 for two",Secunderabad,Closes in 1 hour 37 minutes
Blue Tokai Coffee Roasters - Branch 36,4.0,"Cafe, Coffee, Sandwich, Bakery, Desserts, Beverages",₹350 for one,Gachibowli,21 min
Moti Mahal Restaurant & Bar - Branch 10,4.2,"North Indian, Biryani, Mughlai, Continental, Oriental, Italian, Asian, Desserts","₹1,200 for two",Secunderabad,Closes in 1 hour 36 minutes
Bitcoin Cafe - Branch 35,4.4,₹100 OFF,₹100 OFF,Gachibowli,27 min
C.P. Fast Food Point - Branch 14,3.8,Fast Food,₹100 for two,Kukatpally,
Vikas Dosa - Branch 38,4.1,South Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Kijiji - On The Roof - Branch 5,4.5,"Chinese, North Indian, Sushi, Italian, Desserts, Beverages","₹2,000 for two",Madhapur,
Masqati - Branch 3,4.3,₹100 OFF,₹100 OFF,Madhapur,33 min
Oh! Calcutta - Branch 29,4.4,"Bengali, North Indian, Seafood, Beverages","₹1,800 for two",Madhapur,Closes in 1 hour 42 minutes
Karachi Bakery - Branch 3,4.5,₹100 OFF,₹100 OFF,Madhapur,40 min
Karim's - Branch 1,4.1,₹100 OFF,₹100 OFF,Gachibowli,29 min
Thalaiva Biryani - Branch 25,4.4,₹100 OFF,₹100 OFF,Gachibowli,29 min
Suchali's Artisan Bakehouse - Branch 9,4.0,₹100 OFF,₹100 OFF,Gachibowli,25 min
Golden Paprika - Fine Dine And Playtorium - Branch 11,4.3,"Oriental, North Indian, Pizza, Pasta, Fast Food, Chinese, Desserts, Beverages","₹1,000 for two",Secunderabad,Closes in 1 hour 7 minutes
Carnatic Cafe - Branch 45,4.9,"South Indian, Beverages",₹800 for two,Secunderabad,Closes in 37 minutes
Coffee And More - Branch 36,4.2,₹100 OFF,₹100 OFF,Madhapur,46 min
Mira's - Branch 6,4.0,"Cafe, Coffee, European, North Indian, Fast Food, Desserts","₹2,200 for two",Secunderabad,Closes in 1 hour 52 minutes
Hotel Sitara Grand - Branch 48,4.3,₹100 OFF,₹100 OFF,Madhapur,52 min
The Biryani Club - Branch 27,3.6,₹100 OFF,₹100 OFF,Gachibowli,29 min
KTM Food House - Branch 48,4.3,₹100 OFF,₹100 OFF,Gachibowli,32 min
Kulhad Chai Wala - Branch 18,3.7,"Beverages, Tea",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Fundir - Branch 32,4.3,₹100 OFF,₹100 OFF,Madhapur,
Moti Mahal - Branch 7,4.0,Flat 20% OFF,₹400 for one,Gachibowli,28 min
Titli Cafe - Crown Ceremonies - Branch 28,4.3,"North Indian, Mughlai, Continental, Salad, Chinese, Biryani, Desserts","₹1,400 for two",Secunderabad,Closes in 1 hour 7 minutes
The ThickShake Factory - Branch 37,4.0,₹100 OFF,₹100 OFF,Madhapur,55 min
Moets Since 1965 - Branch 11,4.3,"North Indian, Mughlai, Chinese, Indo-Chinese, Biryani, Modern Indian, Oriental, Desserts","₹1,200 for two",Secunderabad,Closes in 1 hour 37 minutes
Punjabi Zaika - Branch 37,4.0,₹100 OFF,₹100 OFF,Gachibowli,32 min
Moti Mahal Delux - Branch 9,3.8,₹100 OFF,₹100 OFF,Gachibowli,33 min
Just Food - Branch 23,4.2,"Chinese, Street Food, Fast Food, Sichuan",₹100 for two,Kukatpally,
Dhaba - Estd 1986 Delhi - Branch 25,4.1,"Desserts, Mughlai, Kebab, North Indian","₹1,400 for two people",Gachibowli,
Mamma Rose - Branch 5,4.3,"Italian, European, Desserts, Continental","₹1,200 for two",Secunderabad,Closes in 37 minutes
Kake De Chawal - Branch 37,3.9,North Indian,₹100 for two,Kukatpally,
Kanha Chaat Bhandar - Branch 7,3.9,Street Food,₹100 for two,Kukatpally,
24 Cloud Snooker And Cafe - Branch 35,4.2,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
BeeYoung Brewgarden - Branch 42,4.7,"European, Asian, Italian, Modern Indian","₹2,900 for two",Secunderabad,
Nand Lal Dhaba - Branch 8,3.9,₹100 OFF,₹100 OFF,Gachibowli,48 min
Somewhere Restaurant & Bar - Branch 2,4.1,"North Indian, Asian, European, Continental, Lebanese, Turkish, Mediterranean, Kebab","₹2,000 for two",Gachibowli,
Farmer's Basket - Branch 6,4.7,"North Indian, European, Continental, Mediterranean, Asian","₹4,500 for two",Madhapur,Closes in 1 hour 12 minutes
Famous Darbhanga Bihar - Branch 39,3.9,Bihari,₹100 for two,Kukatpally,
HOT AND BITE - Branch 18,3.7,"Chinese, Momos, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Shri Mohan Ji Kachori Wale - Branch 19,3.9,Street Food,₹100 for two,Kukatpally,
McDonald's - Branch 32,4.0,₹100 OFF,₹100 OFF,Gachibowli,24 min
Jai Shree Shyam Kachori Bhandar - Branch 29,4.2,"Street Food, North Indian, Chinese, Burger, Momos",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Bole Toh Vda Pav - Branch 47,4.0,Street Food,₹100 for two,Kukatpally,Closes in 1 hour 24 minutes
One8 Commune - Branch 29,4.7,"North Indian, Italian, Asian, Continental","₹4,000 for two",Madhapur,
Bira 91 Taproom - Branch 7,4.6,"Italian, North Indian, Burger","₹4,000 for two",Secunderabad,Closes in 1 hour 7 minutes
SubKing - Branch 27,4.4,₹100 OFF,₹100 OFF,Gachibowli,28 min
Mool Chand Chole Bhature Wale - Branch 33,4.0,Street Food,₹100 for two,Kukatpally,
Cream Centre - Vegetarian Legacy Since 1958 - Branch 41,4.2,"North Indian, Chinese, Mexican, Italian, Pasta, Pizza, Shake, Biryani","₹1,200 for two",Madhapur,Closes in 1 hour 12 minutes
Mithun Chole Kulche - Branch 35,4.3,Street Food,₹100 for two,Kukatpally,
Sahi Kachori Wale - Branch 6,4.2,Street Food,₹100 for two,Kukatpally,
Ahmad Biryani Corner - Branch 12,3.8,Biryani,₹100 for two,Kukatpally,Closes in 9 minutes
Nathu's Sweets - Branch 20,4.0,₹100 OFF,₹100 OFF,Gachibowli,25 min
Tamra - Shangri-La Eros New Delhi - Branch 19,4.6,"North Indian, Continental, European, Asian, American, Desserts, Beverages, Shake","₹5,000 for two",Madhapur,Closes in 1 hour 42 minutes
Kiona Patio & Bar - Branch 12,4.3,"European, Asian","₹2,000 for two",Madhapur,
The Fresh Cakes Bakers & Snacks - Branch 12,3.5,₹100 OFF,₹100 OFF,Madhapur,42 min
Delia My Bar Headquarters - Branch 39,4.2,"North Indian, Chinese, Fast Food, Beverages","₹1,600 for two",Gachibowli,
Vrinda Vaishno Dhaba - Branch 32,4.0,₹100 OFF,₹100 OFF,Gachibowli,28 min
Kake De Chawal - Branch 12,3.8,North Indian,₹100 for two,Kukatpally,
"UBQ - Meals, Thalis & Bowls - Branch 34",4.3,₹100 OFF,₹100 OFF,Gachibowli,26 min
Gola Sizzlers - Naresh Gola Group - Branch 37,4.6,"North Indian, Chinese, Salad, Pasta, Pizza, Desserts, Shake, Beverages","₹1,900 for two",Gachibowli,Closes in 1 hour 54 minutes
Coffee And More - Branch 45,4.1,₹100 OFF,₹100 OFF,Madhapur,46 min
The Beer Garden - Branch 26,4.2,"North Indian, Biryani, Fast Food, Pizza, Pasta, Salad, Chinese, Desserts","₹1,800 for two",Madhapur,
Dwarka SYD Rooftop Cafe - Branch 5,4.2,"Chinese, Fast Food, North Indian, Sandwich, Salad, Pizza, Pasta, Burger","₹1,300 for two",Secunderabad,Closes in 1 hour 37 minutes
Rooh - Branch 44,4.7,"Modern Indian, North Indian, Desserts, Beverages","₹3,000 for two",Madhapur,
Chole Bhature Wala - Branch 46,4.3,"Fast Food, Street Food",₹100 for two,Kukatpally,Closes in 9 minutes
Pappu Chat Bhandar - Branch 6,4.2,Street Food,₹100 for two,Kukatpally,
Vikas Dosa - Branch 9,4.1,South Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Cafe Loyal Tea - Branch 12,3.7,"Tea, Fast Food, Beverages",₹100 for two,Kukatpally,Closes in 9 minutes
Yadav Ji Ke Special Paneer Wale Chhole Bhature - Branch 41,4.2,"North Indian, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Monkey Bar - Branch 12,4.4,"Pizza, Italian, Bar Food, North Indian, Burger, Mexican, Street Food","₹3,000 for two",Secunderabad,
Bansiwala Sweets Corner - Branch 33,3.7,"Mithai, Street Food",₹100 for two,Kukatpally,Closes in 39 minutes
Sahi Kachori Wale - Branch 22,4.0,Street Food,₹100 for two,Kukatpally,
Aggarwal Sweets & Restaurant - Branch 28,3.6,"Mithai, Street Food",₹100 for two,Kukatpally,
Sachdeva Snacks Corner - Sardar Ji Pakode Wale - Branch 13,4.3,Street Food,₹100 for two,Kukatpally,
Choupati Junction - Branch 18,3.9,₹100 OFF,₹100 OFF,Gachibowli,32 min
Chhole Kulchhe Chhole Prathey - Branch 31,4.0,North Indian,₹100 for two,Kukatpally,
Kashmir Chur Chur Naan - Branch 29,4.0,₹100 OFF,₹100 OFF,Gachibowli,31 min
Shake Sahab - Branch 1,4.6,₹100 OFF,₹100 OFF,Gachibowli,45 min
Exotica - Branch 25,4.3,₹100 OFF,₹100 OFF,Madhapur,52 min
Wok In The Clouds - Branch 48,4.2,Flat 20% OFF,"₹1,150 for one",Gachibowli,33 min
Titu Di Hatti - Branch 49,3.5,North Indian,₹100 for two,Kukatpally,
Lazeez Food - Branch 47,4.2,Rolls,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
M Gopinath South Indian Cafe - Branch 40,4.3,₹100 OFF,₹100 OFF,Gachibowli,27 min
Punjabi Zaika - Branch 6,4.0,₹100 OFF,₹100 OFF,Gachibowli,32 min
Fusion Restaurant Veg & Non Veg - Branch 27,3.9,₹100 OFF,₹100 OFF,Madhapur,48 min
Infinit Finit - Branch 2,3.8,Bakery,₹100 for two,Kukatpally,
Cafe Pride - Pride Plaza Hotel - Branch 48,4.3,"North Indian, Mughlai, Continental, Asian, Biryani, Beverages, Desserts","₹3,000 for two",Secunderabad,Closes in 1 hour 7 minutes
Glazora Donuts - Branch 11,3.0,₹100 OFF,₹100 OFF,Madhapur,44 min
Bitcoin Cafe - Branch 12,4.3,₹100 OFF,₹100 OFF,Gachibowli,27 min
Sonam Chhole Bhature - Branch 1,4.1,North Indian,₹100 for two,Kukatpally,
Sharwan Home Foods - Branch 30,4.2,₹100 OFF,₹100 OFF,Gachibowli,32 min
Ustad Veg Hotel - Branch 5,3.8,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Krishna Chole Bhature - Branch 33,4.3,North Indian,₹100 for two,Kukatpally,
Secret Kitchen Ristorante - Branch 15,4.1,₹100 OFF,₹100 OFF,Madhapur,39 min
Purani Delhi Ki Bedmi Puri Bhature Chole - Branch 44,3.9,Street Food,₹100 for two,Kukatpally,
Thalaiva Biryani - Branch 12,3.9,₹100 OFF,₹100 OFF,Gachibowli,29 min
Harley's Fine Baking - Branch 18,4.7,₹100 OFF,₹100 OFF,Madhapur,37 min
Ram Ratan Halwai - Branch 14,4.2,"Mithai, Street Food",₹100 for two,Kukatpally,
ZZZ Pizza - Branch 32,3.9,Pizza,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Mehta Restaurant - Branch 34,4.1,₹100 OFF,₹100 OFF,Gachibowli,43 min
Kumaun South Indian Food - Branch 10,3.9,"Chinese, South Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Yadav Ji Ke Special Paneer Wale Chhole Bhature - Branch 35,3.9,"North Indian, Street Food",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Shree Shyam PTW - Branch 47,3.9,"Street Food, North Indian",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Chirag Family Dhaba - Branch 16,3.7,"North Indian, Chinese, Fast Food, Shake, Beverages",₹300 for two,Madhapur,Closes in 12 minutes
The Chatter House - Branch 18,4.5,"North Indian, American, Burger, Italian, Desserts, Beverages","₹2,500 for two",Madhapur,
The Barbeque Times - Branch 3,4.6,"BBQ, South Indian, North Indian, Asian, Mughlai, Street Food, Bakery, Desserts","₹2,200 for two",Madhapur,Closes in 43 minutes
Comorin - Branch 25,4.9,"North Indian, Modern Indian, South Indian, Seafood, Desserts","₹3,000 for two",Madhapur,
Ministry Of Daru - Branch 26,4.3,"Finger Food, Chinese, Continental, Italian, Mughlai, North Indian","₹1,800 for two",Madhapur,
Dip And Dip - Branch 39,4.5,₹100 OFF,₹100 OFF,Madhapur,38 min
Kiara Soul Kitchen - Branch 34,4.4,"North Indian, Chinese, Sushi, Asian, Healthy Food, Salad, Desserts, Beverages","₹2,400 for two",Gachibowli,Closes in 1 hour 24 minutes
Oishii Wok - Branch 15,4.7,"Asian, Chinese, Japanese, Sushi, Korean, Thai, Beverages","₹1,100 for two",Secunderabad,Closes in 1 hour 37 minutes
Dip And Dip - Branch 12,4.3,₹100 OFF,₹100 OFF,Madhapur,38 min
Akash Deep Restaurant - Branch 46,4.1,₹100 OFF,₹100 OFF,Gachibowli,43 min
Ansarul Bangali Hotel - Branch 45,4.1,"North Indian, Bengali",₹100 for two,Kukatpally,
Khushi Momos Corner - Branch 45,4.0,"Momos, Chinese",₹100 for two,Kukatpally,Closes in 9 minutes
Chauhan Ji Chole Bhature Wale - Branch 5,3.7,"North Indian, Street Food",₹100 for two,Kukatpally,
Barcode - Branch 27,3.9,"North Indian, Italian, Chinese, Continental, Desserts, Pizza, Wraps","₹2,300 for two",Madhapur,
Hotel Shubham Prestige - Branch 6,4.5,₹100 OFF,₹100 OFF,Madhapur,44 min
Prabhu South Indian Corner - Branch 22,4.2,South Indian,₹100 for two,Kukatpally,
Parikrama - The Revolving Restaurant - Branch 15,4.0,"North Indian, Chinese, Italian, Continental, Beverages, Desserts","₹2,500 for two",Gachibowli,
Spicy Fast Food - Branch 6,3.9,"North Indian, Fast Food",₹100 for two,Kukatpally,Closes in 1 hour 39 minutes
Shakahari Restaurant - Branch 18,4.2,₹100 OFF,₹100 OFF,Gachibowli,44 min
Mark's Eatery - Branch 3,4.5,"North Indian, Chinese, Fast Food, Asian, Continental, Japanese, Mediterranean, Italian","₹1,000 for two",Secunderabad,Closes in 1 hour 52 minutes
Aj' LL.B. Chai Wala - Branch 42,3.9,"Beverages, Street Food",₹100 for two,Kukatpally,
Amritsari Chur Chur Naan - Branch 24,4.3,₹100 OFF,₹100 OFF,Gachibowli,32 min
Cake Manglam - Branch 39,2.9,₹100 OFF,₹100 OFF,Madhapur,
Olive Bar & Kitchen - Branch 18,4.6,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts","₹5,000 for two",Madhapur,
Mahboob Bakers - Branch 22,4.6,₹100 OFF,₹100 OFF,Madhapur,36 min
Al Arabian Wraps - Branch 8,3.8,₹100 OFF,₹100 OFF,Madhapur,37 min
Kanha Chaat Bhandar - Branch 13,3.8,Street Food,₹100 for two,Kukatpally,
F Bar & Lounge Noida - Branch 35,3.9,"North Indian, Bar Food, Italian, Biryani, Chinese, Beverages","₹3,600 for two",Secunderabad,
Cream Stone Ice Cream Cakes - Branch 37,4.7,₹100 OFF,₹100 OFF,Madhapur,42 min
Papreewala - Branch 37,3.9,Street Food,₹100 for two,Kukatpally,
Grand Maa Bakers - Branch 17,3.8,₹100 OFF,₹100 OFF,Madhapur,52 min
DEL - Roseate House - Branch 18,4.7,"European, North Indian, Italian, Continental, Asian, Desserts","₹5,000 for two",Madhapur,
Indirapuram Veg Biryani - Branch 46,3.8,Biryani,₹100 for two,Kukatpally,
Taste Of Malabar - Branch 24,4.0,₹100 OFF,₹100 OFF,Gachibowli,33 min
Ekansh Food Corner - Branch 22,4.1,"Street Food, North Indian",₹100 for two,Kukatpally,
Hotel Shubham Prestige - Branch 3,4.2,₹100 OFF,₹100 OFF,Madhapur,44 min
Sharma Ji Ke Special Chole Bhature - Branch 2,4.3,North Indian,₹100 for two,Kukatpally,
Galaxy Pizza - Branch 2,4.5,Pizza,"₹1,500 for two",Madhapur,
AL-Khatir Restaurant Mashoor Chhoti Degh - Branch 25,3.8,₹100 OFF,₹100 OFF,Gachibowli,43 min
Dramz - Branch 14,4.2,"European, Asian, North Indian","₹4,000 for two",Madhapur,
Paradise Biryani - A Legend Since 1953 - Branch 41,4.2,₹100 OFF,₹100 OFF,Madhapur,35 min
Arabic Kunafa - Branch 23,4.4,₹100 OFF,₹100 OFF,Madhapur,38 min
Ivoryy Fusion Bar - Branch 16,4.1,"Cafe, Asian, Modern Indian","₹2,000 for two people",Gachibowli,
Fusion Restaurant Veg & Non Veg - Branch 12,3.9,₹100 OFF,₹100 OFF,Madhapur,48 min
Maalgaadi By Dhaba Estd 1986 Delhi - Branch 39,4.2,Flat 30% OFF,₹300 for one,Gachibowli,28 min
Kiara Soul Kitchen - Branch 31,4.7,"North Indian, Chinese, Sushi, Asian, Healthy Food, Salad, Desserts, Beverages","₹2,400 for two",Gachibowli,Closes in 1 hour 24 minutes
Pahadganj Ke Special Chole Bhature - Branch 32,4.3,North Indian,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Samosa Hub - Branch 19,3.2,"Street Food, North Indian, Fast Food",₹100 for two,Kukatpally,Closes in 39 minutes
The Big Chill Cakery - Branch 23,4.7,"Bakery, Desserts",₹100 for one,Gachibowli,28 min
Ping's Café Orient - Branch 14,4.4,"Asian, Chinese, Thai, Seafood, Beverages","₹2,000 for two",Secunderabad,Closes in 1 hour 37 minutes
Kiona Patio & Bar - Branch 4,3.9,"European, Asian","₹2,000 for two",Madhapur,
Mamagoto - Branch 3,4.6,Flat 20% OFF,₹650 for one,Gachibowli,39 min
Darshan Refreshment Centre - Branch 15,4.0,"Street Food, Fast Food",₹100 for two,Kukatpally,
Chirag Kulfi And Falooda Kulfi Di Hatti - Branch 38,3.7,Ice Cream,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Drooling By The Shang - Branch 10,4.2,"Chinese, Biryani, Pasta, North Indian","₹1,300 for two",Secunderabad,Closes in 1 hour 37 minutes
The House Of Celeste - Branch 33,4.0,"North Indian, Continental, Asian, Pizza, Italian, Bar Food, Desserts, Beverages","₹3,000 for two",Madhapur,
Tandoori Touchdown - Branch 14,3.9,₹100 OFF,₹100 OFF,Gachibowli,30 min
Pa Pa Ya - Branch 2,5.0,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Beverages","₹2,400 for two",Secunderabad,Closes in 1 hour 7 minutes
Fast Food - Branch 27,4.2,"Street Food, Chinese",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Shake Sahab - Branch 49,4.2,₹100 OFF,₹100 OFF,Gachibowli,45 min
Nazeer Foods - Branch 24,4.1,₹100 OFF,₹100 OFF,Gachibowli,25 min
Bikaner Misthan Bhandar - Branch 40,4.2,"Mithai, Street Food, Fast Food",₹100 for two,Kukatpally,
De Fresh Arabian Grill - Branch 49,4.5,₹100 OFF,₹100 OFF,Madhapur,40 min
Sonam Chhole Bhature - Branch 1,3.8,North Indian,₹100 for two,Kukatpally,
Burger Singh - Big Punjabi Burgers - Branch 13,4.5,₹100 OFF,₹100 OFF,Gachibowli,25 min
The Chaa Chuu Cafe - Branch 34,4.2,"Beverages, Bakery, Fast Food, Desserts",₹100 for two,Kukatpally,
Delhi Chaat Bhandar - Branch 28,4.2,Fast Food,₹100 for two,Kukatpally,
Swiss Castle - Branch 31,4.1,₹100 OFF,₹100 OFF,Madhapur,36 min
Karachi Bakery - Branch 30,4.0,₹100 OFF,₹100 OFF,Madhapur,40 min
Gola Sizzlers - Naresh Gola Group - Branch 42,4.4,"North Indian, Chinese, Salad, Pasta, Pizza, Desserts, Shake, Beverages","₹1,900 for two",Gachibowli,Closes in 1 hour 54 minutes
Nawab Seekh Paratha Corner - Branch 21,3.9,North Indian,₹100 for two,Kukatpally,
Flavours Of Chaap - Branch 18,3.9,₹100 OFF,₹100 OFF,Gachibowli,23 min
Dosa Express - Branch 5,4.1,South Indian,₹100 for two,Kukatpally,Closes in 9 minutes
Cafe Wink - Branch 24,4.6,"Cafe, Continental, Italian, Fast Food, Sandwich, Pizza, Beverages, Desserts","₹1,000 for two",Gachibowli,Closes in 1 hour 24 minutes
eleved - Branch 46,4.9,"Cafe, Coffee, Tea, Continental, Healthy Food, Modern Indian, South Indian, Juices","₹2,600 for two",Secunderabad,Closes in 37 minutes
Chai Chakhna Cafe - Branch 36,4.2,"Tea, Beverages",₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
GFC Fast Food - Branch 5,3.8,Fast Food,₹100 for two,Kukatpally,Closes in 9 minutes
Vishal Chole Bhature - Branch 37,3.7,North Indian,₹100 for two,Kukatpally,
Tamra - Shangri-La Eros New Delhi - Branch 4,4.6,"North Indian, Continental, European, Asian, American, Desserts, Beverages, Shake","₹5,000 for two",Madhapur,Closes in 1 hour 42 minutes
Organic Bistro - Kitchen and cafe - Branch 11,4.2,"Pizza, Wraps, Burger, Sandwich, Healthy Food, Beverages","₹2,000 for two",Gachibowli,Closes in 1 hour 24 minutes
Itminaan Matka Biryani - Slow Cooked - Branch 45,4.4,₹100 OFF,₹100 OFF,Gachibowli,29 min
Shri Ram Kachori Wala - Branch 28,4.0,Street Food,₹100 for two,Kukatpally,
Turban Tales - Branch 16,4.1,"North Indian, Chinese, Pizza, Continental, Japanese, Seafood, Kebab","₹1,700 for two",Madhapur,Closes in 1 hour 13 minutes
Captain Kunafa - Branch 36,4.0,₹100 OFF,₹100 OFF,Madhapur,38 min
The Drunken Botanist - Branch 13,4.0,"Italian, Pizza, Sushi, Japanese, Asian, Chinese, Healthy Food, Desserts","₹3,000 for two",Madhapur,
Soi 7 Pub & Brewery - Branch 44,4.3,"Chinese, Japanese, Salad, Seafood, Pizza, Pasta, Beverages, Desserts","₹2,800 for two",Madhapur,
Buona Sera - Branch 11,4.4,"Italian, Pasta, Pizza, Lebanese, Sandwich, Salad, Coffee, Beverages","₹1,600 for two",Secunderabad,Closes in 1 hour 37 minutes
Bole Toh Vda Pav - Branch 14,4.2,Street Food,₹100 for two,Kukatpally,Closes in 1 hour 24 minutes
Zen Flavours - Branch 14,3.9,Momos,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
Bella Vie - Branch 9,3.4,"Cafe, Continental, Italian, Chinese, Pasta, Beverages, Shake, Desserts","₹1,000 for two",Madhapur,Closes in 1 hour 42 minutes
Choudhary Jee Ke Prasidh Samose - Branch 1,4.0,Street Food,₹100 for two,Kukatpally,Closes in 9 minutes
Nand Lal Dhaba - Branch 37,3.9,₹100 OFF,₹100 OFF,Gachibowli,48 min
Eswari Laphing Corner - Branch 19,3.5,Street Food,₹100 for two,Kukatpally,
Deepchand Chole Bhature - Branch 44,3.8,Street Food,₹100 for two,Kukatpally,
Vaishno Chaat Bhandar - Branch 22,4.2,Street Food,₹100 for two,Kukatpally,Closes in 1 hour 9 minutes
ENSO - Sourdough Pizza by Nomad - Branch 16,4.4,₹100 OFF,₹100 OFF,Gachibowli,23 min
Delhi Chaat Bhandar By Unique Food - Branch 29,4.0,"Street Food, North Indian, Fast Food, Momos",₹100 for two,Kukatpally,
Balaji Pavan Mithai Bhandar - Branch 7,4.3,₹100 OFF,₹100 OFF,Madhapur,57 min
Nawab - Lucknowi Swaad - Branch 14,3.4,₹100 OFF,₹100 OFF,Gachibowli,33 min
